"Photo.Order","Timepoint","Site","Photo.Rep","Photo.Name","ROI.Type","ROI.Rep","ROI.LabelCode","Area","StdDev","Mode","Perim.","Feret","MinFeret","Cal.Length","Mod_Bleached","Sev_Bleached","Partial_Mortality","Cal.nums","Cal.Length.mean","Diameter.circular","Volume.spherical","Geom.Mean.D"
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","6","b",62.0155830164458,31.067,61,33.9627609675938,10.8421481668381,8.54456585731939,317.969,"TRUE","FALSE","FALSE","4",309.138,8.88598293304377,367.379608177931,9.62504280750807
"7","2016_during-bleaching","North","7","IMG_7047.JPG","Pa","7",NA,11.6568284480681,26.955,77,14.0582199535483,5.2513440599344,2.97252359787538,317.969,"FALSE","FALSE","FALSE","4",309.138,3.85252319217862,29.93880129562,3.95091687317232
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","1","b",148.292739360838,30.489,50,50.5940085290826,15.4854544523084,12.8001130173298,317.068,"TRUE","FALSE","FALSE","4",322.0745,13.7408944378204,1358.44991830166,14.0789050396066
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","2","b",61.4641673839335,41.964,69,71.4715384173538,13.1309991942858,9.98104475827798,317.068,"TRUE","FALSE","FALSE","4",322.0745,8.84638957413957,362.490646352266,11.4481915899009
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","3","b",61.0968746869656,31.166,66,45.5680595638587,11.8430363161318,8.43280048560193,317.068,"TRUE","FALSE","FALSE","4",322.0745,8.81991819186399,359.246291011735,9.9934960047862
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","5","b",29.8133699381337,38.755,97,39.7916010115672,9.30970939953334,4.92100430179974,317.068,"TRUE","FALSE","FALSE","4",322.0745,6.1611331398575,122.456094357778,6.7685389858971
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","6","b",48.4980603649883,44.553,118,40.1159048605214,11.0906017086109,7.81387536113539,317.068,"TRUE","FALSE","FALSE","4",322.0745,7.858094444562,254.068225817431,9.30916641977577
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","7","b",122.786623412344,31.191,95,74.4175338314582,15.7321675575061,11.0079810727021,317.068,"TRUE","FALSE","FALSE","4",322.0745,12.5034708978388,1023.50598165342,13.1597645383801
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","8","b",82.6861658906293,32.969,77,46.6469403818061,12.6145348358842,10.1404799200185,317.068,"TRUE","FALSE","FALSE","4",322.0745,10.2605699751272,565.604794063849,11.3100591158339
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","9","b",10.986968155756,29.636,75,15.4110306776848,5.37465710573175,3.07137013330767,317.068,"TRUE","FALSE","FALSE","4",322.0745,3.74019282025065,27.3955862749873,4.06294982879611
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","10","b",34.5255135149815,29.677,77,34.4578661148275,8.60133292142035,6.56652420480355,317.068,"TRUE","FALSE","FALSE","4",322.0745,6.63017715521711,152.606847319447,7.51537496217457
"8","2016_during-bleaching","North","8","IMG_7054.JPG","Pa","11","b",81.1919305092639,40.501,64,75.4978739391042,13.4512356613144,10.9005835606358,317.068,"TRUE","FALSE","FALSE","4",322.0745,10.1674370732149,550.342562870516,12.108935474267
